tag_id,tag_print,tag,games_with_this_tag,votes_for_this_tag,tag_weight,price_median,undersore_median,owners_median,playtime_median
103,Tower Defense,tower_defense,135,"9,960",74,$4.99 ,77%,"2,260,000",3:13
242,Football,football,25,"1,823",73,$9.99 ,71.50%,"1,360,000",1:40
141,Dark Humor,dark_humor,79,"5,800",73,$9.44 ,85%,"4,070,000",3:37
327,Faith,faith,4,292,73,$8.84 ,97.50%,"450,000",1:16
159,2D Fighter,2d_fighter,63,"4,546",72,$12.99 ,84%,"2,710,000",3:56
179,Voxel,voxel,47,"3,388",72,$9.99 ,80%,"2,710,000",5:38
247,Vampire,vampire,24,"1,694",71,$9.99 ,77%,"1,810,000",3:31
273,Capitalism,capitalism,17,"1,199",71,$9.99 ,80%,"4,520,000",3:12
184,Psychological,psychological,44,"3,138",71,$5.99 ,85%,"3,160,000",2:51
23,Anime,anime,670,"47,850",71,$4.99 ,86%,"1,810,000",3:09
50,Cute,cute,321,"22,563",70,$7.99 ,90%,"2,260,000",3:24
49,Rogue-like,rogue_like,338,"23,403",69,$9.99 ,84%,"1,360,000",3:18
192,Naval,naval,42,"2,891",69,$9.99 ,73%,"1,810,000",1:30
28,Platformer,platformer,618,"42,531",69,$6.99 ,83%,"2,030,000",2:45
304,Martial Arts,martial_arts,10,675,68,$12.49 ,78.50%,"900,000",4:07
93,Dungeon Crawler,dungeon_crawler,152,"10,319",68,$9.99 ,81%,"1,810,000",4:03
201,Demons,demons,39,"2,656",68,$9.99 ,83.50%,"4,750,000",3:57
25,Pixel Graphics,pixel_graphics,665,"45,106",68,$5.99 ,86%,"1,810,000",3:03
219,God Game,god_game,32,"2,157",67,$12.49 ,81.50%,"1,810,000",3:49
30,Female Protagonist,female_protagonist,609,"40,955",67,$9.99 ,85%,"2,260,000",3:25
114,Metroidvania,metroidvania,115,"7,672",67,$9.99 ,86%,"2,710,000",3:49
198,Noir,noir,40,"2,688",67,$9.99 ,80%,"2,030,000",2:12
88,Bullet Hell,bullet_hell,158,"10,569",67,$6.99 ,86%,"1,360,000",2:38
62,Memes,memes,240,"16,005",67,$3.99 ,84%,"2,490,000",3:33
319,Movie,movie,6,400,67,$2.99 ,93.50%,"2,710,000",0:04
58,Local Co-Op,local_co_op,266,"17,651",66,$9.99 ,86%,"3,620,000",3:14
146,Flight,flight,75,"4,917",66,$9.99 ,79%,"2,710,000",1:30
57,Sexual Content,sexual_content,271,"17,912",66,$3.99 ,83%,"1,360,000",2:34
279,Co-op Campaign,co_op_campaign,15,934,62,$18.49 ,79%,"6,550,000",4:15
196,Hex Grid,hex_grid,41,"2,549",62,$14.99 ,81%,"2,260,000",4:39
199,Drama,drama,40,"2,495",62,$2.99 ,92%,"3,160,000",4:25
99,Procedural Generation,procedural_generation,139,"8,509",61,$9.99 ,83%,"1,810,000",3:15
45,Visual Novel,visual_novel,365,"22,309",61,$9.36 ,87%,"1,360,000",3:34
70,Mystery,mystery,209,"12,795",61,$7.99 ,85%,"1,810,000",2:53
140,Music,music,79,"4,704",60,$8.99 ,87%,"2,030,000",2:28
